additional_events,additional_relationships,exact_high_venue_resolution_rate,market,months_of_temporal_depth,newest_event_date,oldest_event_date,unique_artists,unique_resolved_venues
10,14,0.8636,"Atlanta, GA",179.7,2026-05-01,2011-10-02,11,4
8,10,0.1649,"Austin, TX",172.8,2026-08-14,2012-04-29,10,3
2,2,1.0,"Baltimore, MD",22.5,2026-06-16,2024-11-09,2,2
7,14,0.9545,"Buffalo, NY",130.8,2026-04-01,2015-10-31,13,3
11,18,0.5714,"Chicago, IL",227.1,2026-09-04,2007-10-21,15,4
5,11,1.0,"Cleveland, OH",301.5,2026-04-02,2001-08-07,11,2
23,28,0.7901,"Dallas, TX",397.6,2025-06-13,1993-08-06,19,2
3,4,0.625,"Detroit, MI",98.9,2025-05-18,2018-06-26,4,2
0,0,0.0,"Los Angeles, CA",0.0,,,0,0
5,6,0.4118,"Nashville, TN",99.4,2024-12-07,2018-06-12,3,2
2,2,0.9231,"New York, NY",98.8,2023-09-05,2018-07-01,2,1
18,21,1.0,"Newark, NJ",170.7,2026-06-26,2012-07-02,14,1
11,13,0.76,"Philadelphia, PA",106.2,2026-05-17,2017-11-16,12,5
9,12,0.8947,"Pittsburgh, PA",181.4,2025-11-07,2011-08-12,6,2
0,0,1.0,"Richmond, VA",0.0,,,0,0
7,8,0.12,"San Francisco, CA",120.2,2026-04-22,2016-09-17,5,4
8,12,0.2609,"Seattle, WA",98.6,2026-04-18,2018-07-07,8,5
15,18,0.9577,"Washington, DC",341.1,2026-05-15,1998-04-21,16,5
